,id,name,position,location,team,batting_summary,batting_gamesplayed,batting_flyouts,batting_groundouts,batting_airouts,batting_runs,batting_doubles,batting_triples,batting_homeruns,batting_strikeouts,batting_baseonballs,batting_intentionalwalks,batting_hits,batting_hitbypitch,batting_atbats,batting_caughtstealing,batting_stolenbases,batting_stolenbasepercentage,batting_groundintodoubleplay,batting_groundintotripleplay,batting_plateappearances,batting_totalbases,batting_rbi,batting_leftonbase,batting_sacbunts,batting_sacflies,batting_catchersinterference,batting_pickoffs,batting_atbatsperhomerun,batting_popouts,batting_lineouts,fielding_gamesstarted,fielding_caughtstealing,fielding_stolenbases,fielding_stolenbasepercentage,fielding_assists,fielding_putouts,fielding_errors,fielding_chances,fielding_fielding,fielding_passedball,fielding_pickoffs,batting_note,game_id
0,666160,Mickey Moniak,CF,home,COL,0-3,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,1.0,1.0,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,777976
1,691182,Adael Amador,2B,home,COL,"0-2 | BB, K",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,2.0,4.0,0.0,6.0,.000,0.0,0.0,,777976
3,669911,Michael Toglia,1B,home,COL,0-4 | 2 K,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,1.0,0.0,1.0,0.0,0.0,.---,2.0,7.0,0.0,9.0,.000,0.0,0.0,,777976
7,641857,Ryan McMahon,3B,home,COL,0-1 | BB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,.---,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,,777976
10,656248,Sean Bouchard,RF,home,COL,0-2 | 2 K,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,3.0,0.0,3.0,.000,0.0,0.0,,777976
12,696100,Hunter Goodman,C,home,COL,1-4,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,.---,1.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,4.0,0.0,4.0,.000,1.0,0.0,,777976
15,680911,Owen Miller,3B,home,COL,1-2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,1.0,1.0,0.0,2.0,.000,0.0,0.0,,777976
17,687597,Jordan Beck,LF,home,COL,1-4 | K,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,777976
19,686668,Brenton Doyle,CF,home,COL,0-2 | K,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,.---,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,777976
20,605361,Nick Martini,DH,home,COL,2-3 | 2B,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,,777976
25,676701,Alan Trejo,SS,home,COL,0-3,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,4.0,1.0,0.0,5.0,.000,0.0,0.0,,777976
31,701538,Jackson Merrill,CF,away,SD,"4-6 | 2 RBI, 2 R",1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,3.0,0.0,3.0,.000,0.0,0.0,,777976
32,578428,Jose Iglesias,SS,away,SD,1-2 | R,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,a-,777976
34,518792,Jason Heyward,RF,away,SD,"1-6 | HR, 3 RBI, 2 R",1.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,6.00,0.0,1.0,1.0,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,,777976
35,663604,Brandon Lockridge,LF,away,SD,0-1 | BB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,.---,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,777976
37,657757,Gavin Sheets,1B,away,SD,"3-6 | HR, 2B, K",1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,6.00,0.0,0.0,1.0,0.0,0.0,.---,1.0,9.0,0.0,10.0,.000,0.0,0.0,,777976
40,592518,Manny Machado,3B,away,SD,"2-3 | 2B, BB, RBI",1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,1.0,0.0,1.0,.000,0.0,0.0,,777976
43,642180,Tyler Wade,3B,away,SD,1-2 | RBI,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,1.0,,0.0,0.0,.---,2.0,0.0,0.0,2.0,.000,0.0,0.0,b-,777976
46,665487,Fernando Tatis Jr.,RF,away,SD,"2-4 | HR, BB, 3 RBI",1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,4.00,0.0,0.0,1.0,0.0,0.0,.---,0.0,1.0,0.0,1.0,.000,0.0,0.0,,777976
47,593428,Xander Bogaerts,SS,away,SD,"2-4 | HR, K, RBI",1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,4.00,1.0,0.0,1.0,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,,777976
48,553869,Elias DÃ­az,C,away,SD,"3-5 | 2 2B, BB, 2 K",1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,.---,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,1.0,7.0,0.0,8.0,.000,0.0,0.0,,777976
49,630105,Jake Cronenworth,2B,away,SD,"2-4 | HR, BB, 3 RBI",1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,6.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,4.00,1.0,0.0,1.0,0.0,0.0,.---,4.0,3.0,0.0,7.0,.000,0.0,0.0,,777976
50,650333,Luis Arraez,DH,away,SD,"3-7 | 3B, 3 RBI, 2 R",1.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,.---,0.0,0.0,7.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,,777976
