,id,name,position,team,batting_summary,batting_gamesPlayed,batting_flyOuts,batting_groundOuts,batting_airOuts,batting_runs,batting_doubles,batting_triples,batting_homeRuns,batting_strikeOuts,batting_baseOnBalls,batting_intentionalWalks,batting_hits,batting_hitByPitch,batting_atBats,batting_caughtStealing,batting_stolenBases,batting_stolenBasePercentage,batting_groundIntoDoublePlay,batting_groundIntoTriplePlay,batting_plateAppearances,batting_totalBases,batting_rbi,batting_leftOnBase,batting_sacBunts,batting_sacFlies,batting_catchersInterference,batting_pickoffs,batting_atBatsPerHomeRun,batting_popOuts,batting_lineOuts,fielding_gamesStarted,fielding_caughtStealing,fielding_stolenBases,fielding_stolenBasePercentage,fielding_assists,fielding_putOuts,fielding_errors,fielding_chances,fielding_fielding,fielding_passedBall,fielding_pickoffs,pitching_summary,pitching_gamesPlayed,pitching_gamesStarted,pitching_flyOuts,pitching_groundOuts,pitching_airOuts,pitching_runs,pitching_doubles,pitching_triples,pitching_homeRuns,pitching_strikeOuts,pitching_baseOnBalls,pitching_intentionalWalks,pitching_hits,pitching_hitByPitch,pitching_atBats,pitching_caughtStealing,pitching_stolenBases,pitching_stolenBasePercentage,pitching_numberOfPitches,pitching_inningsPitched,pitching_wins,pitching_losses,pitching_saves,pitching_saveOpportunities,pitching_holds,pitching_blownSaves,pitching_earnedRuns,pitching_battersFaced,pitching_outs,pitching_gamesPitched,pitching_completeGames,pitching_shutouts,pitching_pitchesThrown,pitching_balls,pitching_strikes,pitching_strikePercentage,pitching_hitBatsmen,pitching_balks,pitching_wildPitches,pitching_pickoffs,pitching_rbi,pitching_gamesFinished,pitching_runsScoredPer9,pitching_homeRunsPer9,pitching_inheritedRunners,pitching_inheritedRunnersScored,pitching_catchersInterference,pitching_sacBunts,pitching_sacFlies,pitching_passedBall,pitching_popOuts,pitching_lineOuts,pitching_note,batting_note
0,666160,Mickey Moniak,CF,home,0-3,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,1.0,1.0,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,691182,Adael Amador,2B,home,"0-2 | BB, K",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,2.0,4.0,0.0,6.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,518397,Scott Alexander,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,"1.0 IP, ER, K, 0 BB",1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,.---,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,24.0,7.0,17.0,.710,0.0,0.0,0.0,0.0,1.0,0.0,9.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
3,669911,Michael Toglia,1B,home,0-4 | 2 K,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,1.0,0.0,1.0,0.0,0.0,.---,2.0,7.0,0.0,9.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,623474,Jimmy Herget,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,801403,Chase Dollander,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,608566,Germán Márquez,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,641857,Ryan McMahon,3B,home,0-1 | BB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,.---,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,607732,Jacob Stallings,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,"2.0 IP, ER, K, 0 BB",1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,.---,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,1.0,0.0,0.0,26.0,9.0,17.0,.650,0.0,0.0,0.0,0.0,1.0,1.0,4.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
9,607536,Kyle Freeland,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,656248,Sean Bouchard,RF,home,0-2 | 2 K,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,3.0,0.0,3.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,675848,Juan Mejia,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,.---,0.0,0.0,1.0,1.0,.000,0.0,0.0,"1.1 IP, 4 ER, 0 K, 2 BB",1.0,0.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,0.0,10.0,0.0,0.0,.---,44.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,1.0,0.0,0.0,44.0,15.0,29.0,.660,0.0,0.0,0.0,0.0,7.0,0.0,47.25,13.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12,696100,Hunter Goodman,C,home,1-4,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,.---,1.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,4.0,0.0,4.0,.000,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,571657,Kyle Farmer,2B,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,641755,Tyler Kinley,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,"1.0 IP, 0 ER, K, BB",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,15.0,6.0,9.0,.600,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15,680911,Owen Miller,3B,home,1-2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,1.0,1.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,687134,Bradley Blalock,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,.---,1.0,1.0,0.0,2.0,.000,0.0,0.0,"3.2 IP, 12 ER, K, 2 BB",1.0,1.0,4.0,5.0,5.0,12.0,2.0,0.0,3.0,1.0,2.0,0.0,13.0,0.0,23.0,0.0,0.0,.---,87.0,3.2,0.0,1.0,0.0,0.0,0.0,0.0,12.0,26.0,11.0,1.0,0.0,0.0,87.0,33.0,54.0,.620,0.0,0.0,1.0,0.0,11.0,0.0,29.45,7.36,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"(L, 0-2)",
17,687597,Jordan Beck,LF,home,1-4 | K,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,688642,Zach Agnos,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,686668,Brenton Doyle,CF,home,0-2 | K,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,.---,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,605361,Nick Martini,DH,home,2-3 | 2B,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,656234,Jake Bird,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,678020,Seth Halvorsen,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,683409,Angel Chivilli,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,622608,Antonio Senzatela,P,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,676701,Alan Trejo,SS,home,0-3,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,4.0,1.0,0.0,5.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,673513,Yuki Matsui,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,455117,Martín Maldonado,C,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,650633,Michael King,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,663158,Robert Suarez,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,593974,Wandy Peralta,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,701538,Jackson Merrill,CF,away,"4-6 | 2 RBI, 2 R",1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,3.0,0.0,3.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,578428,Jose Iglesias,SS,away,1-2 | R,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a-
33,592094,Jason Adam,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,518792,Jason Heyward,RF,away,"1-6 | HR, 3 RBI, 2 R",1.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,6.00,0.0,1.0,1.0,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,663604,Brandon Lockridge,LF,away,0-1 | BB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,.---,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,669093,Jeremiah Estrada,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,657757,Gavin Sheets,1B,away,"3-6 | HR, 2B, K",1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,6.00,0.0,0.0,1.0,0.0,0.0,.---,1.0,9.0,0.0,10.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,656302,Dylan Cease,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,670970,Adrian Morejon,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,592518,Manny Machado,3B,away,"2-3 | 2B, BB, RBI",1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,1.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,689690,Alek Jacob,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,601713,Nick Pivetta,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,642180,Tyler Wade,3B,away,1-2 | RBI,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,1.0,,0.0,0.0,.---,2.0,0.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b-
44,663568,Stephen Kolek,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,.---,0.0,1.0,0.0,1.0,.000,0.0,0.0,"9.0 IP, 0 ER, 7 K, 2 BB",1.0,1.0,5.0,11.0,7.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,30.0,0.0,0.0,.---,104.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,27.0,1.0,1.0,1.0,104.0,36.0,68.0,.650,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"(W, 2-0)",
45,669308,Sean Reynolds,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,665487,Fernando Tatis Jr.,RF,away,"2-4 | HR, BB, 3 RBI",1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,4.00,0.0,0.0,1.0,0.0,0.0,.---,0.0,1.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,593428,Xander Bogaerts,SS,away,"2-4 | HR, K, RBI",1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,4.00,1.0,0.0,1.0,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,553869,Elias Díaz,C,away,"3-5 | 2 2B, BB, 2 K",1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,.---,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,1.0,7.0,0.0,8.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,630105,Jake Cronenworth,2B,away,"2-4 | HR, BB, 3 RBI",1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,6.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,4.00,1.0,0.0,1.0,0.0,0.0,.---,4.0,3.0,0.0,7.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,650333,Luis Arraez,DH,away,"3-7 | 3B, 3 RBI, 2 R",1.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,.---,0.0,0.0,7.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,681190,Randy Vásquez,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
